Model,Stage,Accuracy,Precision,Recall,F1,BestParams,CV_F1,TuneTimeSec
RandomForest,Default,0.7894425842032696,0.7690899102728438,0.8272601930273784,0.7971152021256406,default,,
AdaBoost,Default,0.5587945637187315,0.5561829474872954,0.5820366358085484,0.5688161693936478,default,,
KNN,Default,0.6883986606263541,0.6979102007034967,0.6643687216860351,0.6807265388496468,default,,
DecisionTree,Default,0.622611778609415,0.618594017908173,0.6395509158952137,0.6288979275614952,default,,
XGBoost,Default,0.6875123104195391,0.6796904492261231,0.7092771321646641,0.6941686746987952,default,,
RandomForest,Tuned,0.7939728185936576,0.7698427047550171,0.8386842623596612,0.802790346907994,"{""n_estimators"": 300, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": null}",0.7844861817740743,276.6
AdaBoost,Tuned,0.562241481189679,0.5648604269293924,0.5420523931455584,0.5532214292893758,"{""n_estimators"": 200, ""learning_rate"": 1.0}",0.5603674129938602,51.9
KNN,Tuned,0.7388221390584991,0.7629581435697246,0.6929288950167422,0.7262592898431048,"{""weights"": ""distance"", ""p"": 2, ""n_neighbors"": 3}",0.7061300634177077,5.4
DecisionTree,Tuned,0.710754382509356,0.7261200338123415,0.6767776245814457,0.7005810989907229,"{""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_depth"": 24, ""criterion"": ""entropy""}",0.6814836207385062,2.2
XGBoost,Tuned,0.768367145952334,0.7609653323118176,0.7825487492613749,0.7716061371140027,"{""subsample"": 0.85, ""reg_lambda"": 0.5, ""n_estimators"": 600, ""max_depth"": 12, ""learning_rate"": 0.05, ""colsample_bytree"": 1.0}",0.756318904963334,85.6
